K,Procedimento,Repetição ou elemento,N UFs comparadas,ARI
2,Subamostra de 80%,69,27,1.0
2,Subamostra de 80%,7,27,-0.034928555227942845
2,Subamostra de 80%,70,27,1.0
2,Subamostra de 80%,71,27,-0.034928555227942845
2,Subamostra de 80%,72,27,1.0
2,Subamostra de 80%,73,27,0.07879985743446846
2,Subamostra de 80%,74,27,0.8518410286382233
2,Subamostra de 80%,75,27,1.0
2,Subamostra de 80%,76,27,0.7151621384750219
2,Subamostra de 80%,77,27,0.7150696496411988
2,Subamostra de 80%,78,27,-0.0352975495915986
2,Subamostra de 80%,79,27,1.0
